id,lastname,firstname,state,chamber,icpsr,bioname
04329,PERRY,ELI,NY,House,7355,"PERRY, Eli"
04301,MAYNARD,HORACE,TN,House,6112,"MAYNARD, Horace"
04317,NIBLACK,WILLIAM,IN,House,6910,"NIBLACK, William Ellis"
06093,HOLMAN,WILLIAM,IN,House,4529,"HOLMAN, William Steele"
05264,DAWES,HENRY,MA,House,2423,"DAWES, Henry Laurens"
04310,MERRIAM,CLINTON,NY,House,6426,"MERRIAM, Clinton Levi"
04285,KELLOGG,STEPHEN,CT,House,5145,"KELLOGG, Stephen Wright"
04345,SCOFIELD,GLENNI,PA,House,8291,"SCOFIELD, Glenni William"
04800,GARFIELD,JAMES,OH,House,3473,"GARFIELD, James Abram"
04476,MCCRARY,GEORGE,IA,House,6191,"McCRARY, George Washington"
04215,ARCHER,STEVENSON,MD,House,224,"ARCHER, Stevenson"
04258,ELDREDGE,CHARLES,WI,House,2892,"ELDREDGE, Charles Augustus"
04325,PARSONS,RICHARD,OH,House,7221,"PARSONS, Richard Chappel"
04283,HYNES,WILLIAM,AR,House,4790,"HYNES, William Joseph"
04483,MOREY,FRANK,LA,House,6670,"MOREY, Frank"
04253,DE WITT,DAVID,NY,House,2546,"DE WITT, David Miller"
05052,POLAND,LUKE,VT,House,7504,"POLAND, Luke Potter"
05367,BECK,JAMES,KY,House,560,"BECK, James Burnie"
06669,FRYE,WILLIAM,ME,House,3385,"FRYE, William Pierce"
04232,CESSNA,JOHN,PA,House,1612,"CESSNA, John"
05485,RANDALL,SAMUEL,PA,House,7715,"RANDALL, Samuel Jackson"
04250,CURTIS,CARLTON,PA,House,2268,"CURTIS, Carlton Brandaga"
04609,HEREFORD,FRANK,WV,House,4352,"HEREFORD, Frank"
04287,LAMISON,CHARLES,OH,House,5424,"LAMISON, Charles Nelson"
04356,SMALL,WILLIAM,NH,House,8589,"SMALL, William Bradbury"
05024,KASSON,JOHN,IA,House,5100,"KASSON, John Adam"
04299,MARSHALL,SAMUEL,IL,House,6006,"MARSHALL, Samuel Scott"
05027,LAMAR,LUCIUS,MS,House,5416,"LAMAR, Lucius Quintus Cincinnatus"
04745,KILLINGER,JOHN,PA,House,5243,"KILLINGER, John Weinland"
05189,NEGLEY,JAMES,PA,House,6857,"NEGLEY, James Scott"
04505,SCHUMAKER,JOHN,NY,House,8276,"SCHUMAKER, John Godfrey"
04353,SHOEMAKER,LAZARUS,PA,House,8482,"SHOEMAKER, Lazarus Denison"
04449,HAYS,CHARLES,AL,House,4241,"HAYS, Charles"
04454,HURLBUT,STEPHEN,IL,House,4773,"HURLBUT, Stephen Augustus"
04321,ORR,JACKSON,IA,House,7086,"ORR, Jackson"
05710,BUNDY,HEZEKIAH,OH,House,1237,"BUNDY, Hezekiah Sanford"
04641,RAINEY,JOSEPH,SC,House,7693,"RAINEY, Joseph Hayne"
04487,OBRIEN,WILLIAM,MD,House,7005,"O'BRIEN, William James"
04405,BASS,LYMAN,NY,House,502,"BASS, Lyman Kidder"
04292,LEACH,JAMES,NC,House,5536,"LEACH, James Madison"
04612,HUNTER,MORTON,IN,House,4756,"HUNTER, Morton Craig"
05212,STORM,JOHN,PA,House,8996,"STORM, John Brutzman"
04261,FIELD,MOSES,MI,House,3132,"FIELD, Moses Whelock"
04351,SHELDON,LIONEL,LA,House,8432,"SHELDON, Lionel Allen"
05550,BLOUNT,JAMES,GA,House,804,"BLOUNT, James Henderson"
04264,FREEMAN,JAMES,GA,House,3355,"FREEMAN, James Crawford"
05186,MORRISON,WILLIAM,IL,House,6725,"MORRISON, William Ralls"
04575,CRITTENDEN,THOMAS,MO,House,2182,"CRITTENDEN, Thomas Theodore"
04430,CROUNSE,LORENZO,NE,House,2202,"CROUNSE, Lorenzo"
04822,CONGER,OMAR,MI,House,1981,"CONGER, Omar Dwight"
04901,ORTH,GODLOVE,IN,House,7089,"ORTH, Godlove Stein"
04393,WOODFORD,STEWART,NY,House,10343,"WOODFORD, Stewart Lyndon"
04511,STARKWEATHER,HENRY,CT,House,8854,"STARKWEATHER, Henry Howard"
04564,BURCHARD,HORATIO,IL,House,1246,"BURCHARD, Horatio Chapin"
04306,MCKEE,GEORGE,MS,House,6288,"McKEE, George Colin"
04247,CROSSLAND,EDWARD,KY,House,2200,"CROSSLAND, Edward"
04530,WALLS,JOSIAH,FL,House,9778,"WALLS, Josiah Thomas"
04414,BUFFINTON,JAMES,MA,House,1220,"BUFFINTON, James"
04286,KENDALL,CHARLES,NV,House,5164,"KENDALL, Charles West"
05685,MILLS,ROGER,TX,House,6531,"MILLS, Roger Quarles"
04879,LYNCH,JOHN,MS,House,5855,"LYNCH, John Roy"
04635,PHILLIPS,WILLIAM,KS,House,7420,"PHILLIPS, William Addison"
04265,GOOCH,DANIEL,MA,House,3663,"GOOCH, Daniel Wheelwright"
04246,CROOKE,PHILIP,NY,House,2194,"CROOKE, Philip Schuyler"
04245,CROCKER,ALVAH,MA,House,2185,"CROCKER, Alvah"
04240,COBURN,JOHN,IN,House,1876,"COBURN, John"
04583,DURHAM,MILTON,KY,House,2792,"DURHAM, Milton Jameson"
05321,PHELPS,WILLIAM,NJ,House,7407,"PHELPS, William Walter"
