id,lastname,firstname,state,chamber,icpsr,bioname
04445,HAMLIN,HANNIBAL,ME,Senate,4001,"HAMLIN, Hannibal"
04953,ANTHONY,HENRY,RI,Senate,212,"ANTHONY, Henry Bowen"
04711,CONKLING,ROSCOE,NY,Senate,1984,"CONKLING, Roscoe"
03931,BOREMAN,ARTHUR,WV,Senate,862,"BOREMAN, Arthur Inghram"
06262,STEWART,WILLIAM,NV,Senate,8948,"STEWART, William Morris"
04314,MORTON,OLIVER,IN,Senate,6744,"MORTON, Oliver Hazard Perry Throck"
04072,ALCORN,JAMES,MS,Senate,67,"ALCORN, James Lusk"
04520,THURMAN,ALLEN,OH,Senate,9367,"THURMAN, Allen Granberry"
05841,SHERMAN,JOHN,OH,Senate,8454,"SHERMAN, John"
04190,STEVENSON,JOHN,KY,Senate,8922,"STEVENSON, John White"
04026,SCHURZ,CARL,MO,Senate,8279,"SCHURZ, Carl"
04065,FLANAGAN,JAMES,TX,Senate,3203,"FLANAGAN, James Winright"
04123,GOLDTHWAITE,GEORGE,AL,Senate,3657,"GOLDTHWAITE, George"
03941,CASSERLY,EUGENE,CA,Senate,1585,"CASSERLY, Eugene"
04801,WINDOM,WILLIAM,MN,Senate,10268,"WINDOM, William"
04101,COOPER,HENRY,TN,Senate,2046,"COOPER, Henry"
03964,FENTON,REUBEN,NY,Senate,3107,"FENTON, Reuben Eaton"
05268,EDMUNDS,GEORGE,VT,Senate,2855,"EDMUNDS, George Franklin"
05175,LOGAN,JOHN,IL,Senate,5746,"LOGAN, John Alexander"
04210,WRIGHT,GEORGE,IA,Senate,10387,"WRIGHT, George Grover"
05317,NORWOOD,THOMAS,GA,Senate,6978,"NORWOOD, Thomas Manson"
05596,GORDON,JOHN,GA,Senate,3697,"GORDON, John Brown"
04703,CHANDLER,ZACHARIAH,MI,Senate,1642,"CHANDLER, Zachariah"
04018,RAMSEY,ALEXANDER,MN,Senate,7703,"RAMSEY, Alexander"
04038,STOCKTON,JOHN,NJ,Senate,8962,"STOCKTON, John Potter"
04302,MCCREERY,THOMAS,KY,Senate,6197,"McCREERY, Thomas Clay"
04205,WEST,JOSEPH,LA,Senate,9961,"WEST, Joseph Rodman"
04254,DENNIS,GEORGE,MD,Senate,2500,"DENNIS, George Robertson"
04342,SARGENT,AARON,CA,Senate,8218,"SARGENT, Aaron Augustus"
04043,SUMNER,CHARLES,MA,Senate,9083,"SUMNER, Charles"
04225,BOGY,LEWIS,MO,Senate,825,"BOGY, Lewis Vital"
03937,BUCKINGHAM,WILLIAM,CT,Senate,1202,"BUCKINGHAM, William Alfred"
04102,CRAGIN,AARON,NH,Senate,2129,"CRAGIN, Aaron Harrison"
04256,DORSEY,STEPHEN,AR,Senate,2678,"DORSEY, Stephen Wallace"
05486,RANSOM,MATT,NC,Senate,7737,"RANSOM, Matt Whitaker"
04140,KELLY,JAMES,OR,Senate,5152,"KELLY, James Kerr"
04326,PATTERSON,JOHN,SC,Senate,7248,"PATTERSON, John James"
05164,INGALLS,JOHN,KS,Senate,4801,"INGALLS, John James"
04615,JOHNSTON,JOHN,VA,Senate,5005,"JOHNSTON, John Warfield"
04226,BOUTWELL,GEORGE,MA,Senate,889,"BOUTWELL, George Sewel"
04311,MERRIMON,AUGUSTUS,NC,Senate,6432,"MERRIMON, Augustus Summerfield"
04064,AMES,ADELBERT,MS,Senate,152,"AMES, Adelbert"
04248,CROZIER,ROBERT,KS,Senate,2219,"CROZIER, Robert"
04049,TIPTON,THOMAS,NE,Senate,9398,"TIPTON, Thomas Weston"
04242,CONOVER,SIMON,FL,Senate,2003,"CONOVER, Simon Barclay"
04365,SPENCER,GEORGE,AL,Senate,8783,"SPENCER, George Eliphaz"
06403,ALLISON,WILLIAM,IA,Senate,141,"ALLISON, William Boyd"
04320,OGLESBY,RICHARD,IL,Senate,7036,"OGLESBY, Richard James"
03935,BROWNLOW,WILLIAM,TN,Senate,1151,"BROWNLOW, William Gannaway"
04175,ROBERTSON,THOMAS,SC,Senate,7967,"ROBERTSON, Thomas James"
04379,WADLEIGH,BAINBRIDGE,NH,Senate,9702,"WADLEIGH, Bainbridge"
04268,HAGER,JOHN,CA,Senate,3904,"HAGER, John Sharpenstein"
06100,JONES,JOHN,NV,Senate,5046,"JONES, John Percival"
04397,PEASE,HENRY,MS,Senate,7290,"PEASE, Henry Roberts"
04398,WASHBURN,WILLIAM,MA,Senate,9852,"WASHBURN, William Barrett"
03970,GILBERT,ABIJAH,FL,Senate,3571,"GILBERT, Abijah"
04396,HARVEY,JAMES,KS,Senate,4162,"HARVEY, James Madison"
04281,HOWE,TIMOTHY,WI,Senate,4642,"HOWE, Timothy Otis"
04702,CARPENTER,MATTHEW,WI,Senate,1524,"CARPENTER, Matthew Hale"
04091,CALDWELL,ALEXANDER,KS,Senate,1401,"CALDWELL, Alexander"
04097,CLAYTON,POWELL,AR,Senate,1824,"CLAYTON, Powell"
04015,PRATT,DANIEL,IN,Senate,7587,"PRATT, Daniel Darwin"
04579,DAVIS,HENRY,WV,Senate,2384,"DAVIS, Henry Gassaway"
06348,MITCHELL,JOHN,OR,Senate,6565,"MITCHELL, John Hipple"
04069,LEWIS,JOHN,VA,Senate,5642,"LEWIS, John Francis"
04035,SPRAGUE,WILLIAM,RI,Senate,8806,"SPRAGUE, William"
04260,FERRY,ORRIS,CT,Senate,3122,"FERRY, Orris Sanford"
04162,MORRILL,LOT,ME,Senate,6697,"MORRILL, Lot Myrick"
04589,FERRY,THOMAS,MI,Senate,3123,"FERRY, Thomas White"
04066,HAMILTON,MORGAN,TX,Senate,3995,"HAMILTON, Morgan Calvin"
06125,MORRILL,JUSTIN,VT,Senate,6696,"MORRILL, Justin Smith"
03979,HAMILTON,WILLIAM,MD,Senate,3998,"HAMILTON, William Thomas"
04207,WILSON,HENRY,MA,NA,NA,NA
04989,EATON,WILLIAM,CT,Senate,2832,"EATON, William Wallace"
04427,CHRISTIANCY,ISAAC,MI,Senate,1714,"CHRISTIANCY, Isaac Peckham"
06628,WHYTE,WILLIAM,MD,Senate,10082,"WHYTE, William Pinkney"
05264,DAWES,HENRY,MA,Senate,2423,"DAWES, Henry Laurens"
04477,MCDONALD,JOSEPH,IN,Senate,6219,"McDONALD, Joseph Ewing"
04542,WITHERS,ROBERT,VA,Senate,10295,"WITHERS, Robert Enoch"
04499,RANDOLPH,THEODORE,NJ,Senate,7726,"RANDOLPH, Theodore Fitz"
04883,MAXEY,SAMUEL,TX,Senate,6093,"MAXEY, Samuel Bell"
04460,KERNAN,FRANCIS,NY,Senate,5202,"KERNAN, Francis"
04417,BURNSIDE,AMBROSE,RI,Senate,1299,"BURNSIDE, Ambrose Everett"
04457,JOHNSON,ANDREW,TN,Senate,4940,"JOHNSON, Andrew"
05318,PADDOCK,ALGERNON,NE,Senate,7148,"PADDOCK, Algernon Sidney"
04408,BOOTH,NEWTON,CA,Senate,854,"BOOTH, Newton"
04463,KEY,DAVID,TN,Senate,5222,"KEY, David McKendree"
04437,ENGLISH,JAMES,CT,Senate,2968,"ENGLISH, James Edward"
04545,BARNUM,WILLIAM,CT,Senate,455,"BARNUM, William Henry"
04889,MCMILLAN,SAMUEL,MN,Senate,6355,"McMILLAN, Samuel James Renwick"
06196,COCKRELL,FRANCIS,MO,Senate,1892,"COCKRELL, Francis Marion"
04421,CAPERTON,ALLEN,WV,Senate,1491,"CAPERTON, Allen Taylor"
04413,BRUCE,BLANCHE,MS,Senate,1155,"BRUCE, Blanche Kelso"
04548,PRICE,SAMUEL,WV,Senate,7616,"PRICE, Samuel"
04507,SHARON,WILLIAM,NV,Senate,8405,"SHARON, William"
06495,TELLER,HENRY,CO,Senate,9246,"TELLER, Henry Moore"
04547,CHAFFEE,JEROME,CO,Senate,1616,"CHAFFEE, Jerome Bunty"
04528,WALLACE,WILLIAM,PA,Senate,9770,"WALLACE, William Andrew"
04546,BLAINE,JAMES,ME,Senate,760,"BLAINE, James Gillespie"
04865,JONES,CHARLES,FL,Senate,5026,"JONES, Charles William"
04815,CAMERON,ANGUS,WI,Senate,1434,"CAMERON, Angus"
04600,GROVER,LA,OR,Senate,3861,"GROVER, La Fayette"
06327,HOAR,GEORGE,MA,Senate,4462,"HOAR, George Frisbie"
05367,BECK,JAMES,KY,Senate,560,"BECK, James Burnie"
04629,MATTHEWS,STANLEY,OH,Senate,6086,"MATTHEWS, Stanley"
04998,GARLAND,AUGUSTUS,AR,Senate,3475,"GARLAND, Augustus Hill"
04620,KIRKWOOD,SAMUEL,IA,Senate,5299,"KIRKWOOD, Samuel Jordan"
